Term,IDF
азашакыргызчамакедонски,5.643856
тоикукранська,4.643856
лакаб,5.643856
аляэддин,5.643856
араб,2.473931
сргреча,5.058894
ослеплна,5.643856
летний,1.888969
сдерживать,4.321928
соседеймусульман,6.643856
мелитен,5.643856
захватывать,4.058894
конрад,3.836501
кадм,5.643856
людовик,3.836501
графство,3.643856
эдессать,3.836501
держава,3.184425
турчия,6.643856
тогруларслан,6.643856
сирийскиеправить,6.643856
медиевист,4.643856
мухаррем,6.643856
эдесса,4.643856
армянскиеправить,6.643856
беспристрастно,6.643856
немногий,4.058894
исчерпывающий,5.058894
пересказ,5.058894
византийскиеправить,6.643856
осветить,5.643856
рассказать,3.184425
неоспоримый,5.643856
излишний,4.321928
игнорирование,6.643856
дополнять,4.321928
персидскиеправить,6.643856
верификация,6.643856
альазрак,5.058894
акцентироваться,5.643856
сжатый,5.643856
почерпнуть,6.643856
альасир,4.321928
обходить,5.058894
альбундарь,5.643856
сократить,3.643856
альисфахань,5.058894
альадим,5.643856
шаддада,5.058894
зангим,6.643856
альазимь,5.643856
хронологический,4.643856
хамдун,5.643856
интересоваться,6.643856
шама,5.058894
альмакдись,6.643856
аннувайри,6.643856
аксарайя,5.058894
кадь,4.321928
ахмед,3.184425
нигдели,5.643856
аззахаби,6.643856
неоригинальный,6.643856
хамдаллах,6.643856
казвини,6.643856
повторять,3.643856
позаимствовать,5.643856
зафернама,6.643856
мюнеджимбаши,5.058894
одон,5.643856
дейльский,5.643856
капеллан,5.643856
беспристрастный,6.643856
гийома,5.643856
деяние,3.836501
заморский,3.643856
биографияправить,4.058894
годыправить,4.643856
джавали,5.643856
чавль,6.643856
сельджукидский,6.643856
тапара,5.643856
альджазира,4.321928
джекермыш,5.643856
айшехатуна,6.643856
противоречащий,4.058894
заместитель,2.120294
бозмуш,6.643856
излагать,5.643856
мяйафарикин,6.643856
нашлый,4.321928
джазира,5.643856
помощник,3.321928
асан,6.643856
катухнуть,6.643856
однозначно,4.321928
катухо,6.643856
кулан,6.643856
хабур,5.058894
перебраться,4.321928
гибель,2.0
скрыться,4.643856
сдерживание,5.058894
ливанский,4.321928
такуш,5.643856
братьямиправить,6.643856
меликшахправить,6.643856
коньивоспользоваться,6.643856
посадить,4.321928
лагер,3.836501
афьонкарахисар,4.321928
отвз,6.643856
охрана,2.251539
прокомментировать,4.058894
надменный,6.643856
нрав,5.058894
разбойник,5.643856
пухея,6.643856
тирагион,6.643856
выколоть,6.643856
заточить,6.643856
отвезти,6.643856
проговориться,6.643856
кормилица,6.643856
удавить,6.643856
тетива,6.643856
лука,3.184425
тогруларсланправить,6.643856
возведна,4.321928
балак,5.058894
стратегически,4.643856
контролировать,2.184425
оспаривать,4.321928
гюмюштекин,5.643856
гавриил,4.643856
временный,4.643856
вакуум,6.643856
расправа,5.058894
предпринимать,4.058894
манбидж,5.058894
примный,5.643856
масар,6.643856
миншар,6.643856
гергера,5.643856
недовольство,3.836501
ильгази,4.643856
харпуты,4.643856
пятница,3.643856
арабправить,6.643856
недостаточность,6.643856
объединить,2.184425
трижды,3.836501
поссориться,6.643856
успеть,3.643856
мухаммедомправить,6.643856
касианус,6.643856
переправить,5.058894
трапезунд,4.643856
константин,2.395929
перезимовать,6.643856
зинина,6.643856
откупиться,5.058894
сангариус,5.643856
благодарность,3.473931
ягать,5.643856
ягана,5.643856
пошлый,4.643856
уступка,5.058894
византиейправить,6.643856
комнинправить,6.643856
разорить,4.643856
мопсуестие,5.643856
недельный,5.058894
биза,6.643856
химс,6.643856
савар,5.643856
асариб,6.643856
кафартаб,6.643856
шейзара,6.643856
вьючный,6.643856
завованная,4.321928
скорый,3.321928
отвован,5.058894
улубат,6.643856
затруднительный,5.643856
кончиться,4.643856
бедственный,5.643856
ограбить,5.643856
быстрота,6.643856
плотный,3.836501
копьё,4.643856
прибегнуть,5.643856
уловка,5.643856
вымпел,6.643856
позади,4.643856
кавалерия,5.058894
обмануть,6.643856
подошлый,5.643856
точный,3.058894
рансимя,4.643856
стычка,4.058894
гнев,3.643856
оседлать,6.643856
мусульманство,6.643856
неудачный,3.321928
скрыть,5.058894
приход,2.736966
дошлый,4.643856
повезти,5.643856
переск,5.643856
баграса,6.643856
раймунд,4.321928
договорнность,3.836501
завещать,6.643856
мелангия,6.643856
пракан,6.643856
устроить,3.184425
риндакос,6.643856
фригия,4.643856
продвинуться,4.321928
возбуждна,6.643856
поступок,4.321928
непринадлежащий,6.643856
прокануть,6.643856
беспокоить,4.321928
ягунпасана,5.643856
тамошний,5.643856
помыслить,6.643856
равнодушно,6.643856
придться,4.058894
многоразличный,6.643856
удержаться,6.643856
несправедливость,6.643856
тотчас,5.058894
противустать,6.643856
разобьт,6.643856
филомелион,5.058894
калограйя,6.643856
афиона,6.643856
насмехаться,5.643856
отреагировать,4.321928
андрахман,6.643856
филомелиона,5.643856
пятка,6.643856
сжечь,4.643856
товар,2.556393
гаит,6.643856
подготовить,2.473931
окружение,2.836501
закрытый,2.395929
опасно,5.058894
каббал,5.643856
доверить,5.058894
недолго,4.643856
выжидать,6.643856
приготовиться,6.643856
офицер,2.643856
рисковать,4.643856
видимый,5.058894
колебание,4.321928
посмеяться,6.643856
стойкость,5.643856
приободриться,6.643856
теснить,5.058894
темнота,4.643856
рассвет,5.643856
неприступный,4.643856
испугаться,5.058894
перекрыть,4.643856
кладбище,3.473931
выбросить,5.058894
прикасаться,6.643856
гробница,3.473931
трогать,6.643856
отступление,3.836501
цибрелицеманить,5.058894
пупакес,6.643856
разведка,2.943416
заманить,5.643856
отойти,3.836501
погоня,6.643856
решительно,6.643856
воспротивиться,6.643856
пятьсот,5.643856
почемуть,6.643856
убегать,6.643856
спешить,5.643856
толкать,6.643856
безрассудство,6.643856
героизм,6.643856
поручить,3.184425
приближнный,4.643856
смешаться,6.643856
убито,3.836501
вырваться,5.643856
отдохнуть,6.643856
удостовериться,6.643856
мухаммедаправить,6.643856
племянница,3.836501
отговорить,6.643856
прислушаться,5.058894
месул,6.643856
продлиться,4.321928
зулкарнайн,5.643856
стадо,5.058894
разорять,4.058894
зулкарнейный,6.643856
придт,4.643856
приветствовать,4.643856
саван,5.643856
принс,3.836501
сдержать,3.643856
дружить,5.058894
нуреддиномправить,6.643856
дружественный,4.643856
рюкнуддевле,6.643856
давуд,4.643856
хиснкейф,5.643856
фахреддин,5.058894
догмуш,6.643856
сталкиваться,3.836501
сейфеддин,5.643856
джезира,5.643856
раскол,3.473931
просчитаться,6.643856
безуспешно,3.836501
граф,2.556393
крестоносцамиправить,6.643856
дорилееправить,6.643856
жан,3.321928
коломб,5.643856
себастьен,5.643856
мамро,5.643856
француз,2.736966
утремера,6.643856
уничтожение,2.643856
гюстать,5.058894
дора,3.643856
обеспокоенность,4.321928
конфликтовать,5.643856
запросить,5.058894
кадыкть,6.643856
халкедон,6.643856
обратить,3.321928
руководить,3.643856
стефанос,6.643856
проводник,6.643856
займт,5.643856
запастись,6.643856
провизия,5.643856
нагрузить,6.643856
обоз,4.643856
поутру,6.643856
совещание,4.058894
окрестный,5.643856
замечать,5.058894
сарыс,6.643856
батис,6.643856
спешиться,5.058894
отдыхать,5.058894
передовой,4.058894
мамплан,6.643856
гий,4.321928
парамус,6.643856
легковооружнный,6.643856
крик,4.321928
брон,6.643856
вооружённый,3.643856
стрелять,3.836501
пробовать,6.643856
скрываться,6.643856
рукопашный,6.643856
схватка,4.643856
подарить,3.643856
спасти,2.943416
свинец,3.643856
кадмправить,6.643856
кадмусбитва,6.643856
выбрать,2.120294
эфес,4.643856
натыкаться,6.643856
разлагаться,6.643856
запах,5.643856
зараза,5.643856
казыкбель,5.643856
трудность,3.836501
соскальзывать,6.643856
тропа,5.643856
оторвать,5.058894
лазутчик,6.643856
прятаться,4.643856
вершина,4.321928
озаботить,6.643856
спасение,3.184425
удалиться,5.058894
едва,4.058894
свидетельство,3.184425
спастись,3.836501
взобраться,6.643856
скал,6.643856
лететь,3.643856
нагрудник,6.643856
свита,5.058894
весть,5.643856
вселять,6.643856
тревога,3.473931
предводитель,4.643856
поздно,4.321928
спрятаться,6.643856
дупло,6.643856
спасть,5.058894
обвинить,2.556393
отодвинуть,5.058894
сирииправить,6.643856
пуатие,4.321928
ибнвафа,5.643856
ассасин,5.058894
закрепиться,4.058894
инаб,5.643856
бин,4.321928
вафа,5.643856
бабул,6.643856
бабхула,6.643856
обосноваться,4.321928
издевательский,6.643856
оскорблна,6.643856
доставить,3.643856
мртвый,3.836501
цитадель,3.473931
исчезновение,4.058894
сцена,2.836501
ринальда,5.643856
теллбашир,5.643856
жослиный,5.643856
неисчислимый,5.643856
спина,4.643856
пятидесятница,6.643856
кейсуном,6.643856
беснуть,6.643856
беатрис,6.643856
настойчиво,5.643856
сопротивляться,4.321928
иерусалимский,3.836501
пленение,4.321928
прервать,3.321928
самосата,5.058894
биреджик,6.643856
дулука,6.643856
равендать,6.643856
артукидский,5.058894
тимурташа,5.058894
альхосна,5.643856
курусый,6.643856
бурджуррасас,6.643856
увеличить,2.473931
ягибасанправить,6.643856
данышмендидский,6.643856
рассердиться,5.643856
покориться,6.643856
месудаправить,6.643856
увз,6.643856
тельхамдун,6.643856
свирепый,5.643856
буря,3.321928
якупбей,6.643856
хребет,4.058894
аманос,6.643856
якуббей,6.643856
рыцарямитамплиер,6.643856
стефан,3.321928
произвести,3.321928
деморализовать,5.058894
чума,3.321928
мул,5.643856
безуспешный,5.058894
смертьправить,4.321928
захоронение,4.058894
алаэддин,4.643856
каппадокия,3.836501
надеть,4.321928
присягнуть,5.643856
болезнь,2.321928
утверждаться,3.643856
симре,6.643856
выяснить,4.321928
прилично,6.643856
ссориться,6.643856
враждовать,4.643856
армияправить,5.643856
осадный,3.836501
орудие,4.058894
катапульта,5.643856
мастерство,6.643856
поразить,3.643856
дисциплина,3.836501
тактический,3.643856
прим,3.184425
изматывание,6.643856
внезапный,5.058894
превосходящий,4.321928
заманивать,6.643856
барабан,4.058894
труба,4.058894
жизньправить,5.643856
минбар,6.643856
тридцатидевятилетний,6.643856
дворец,2.058894
возвести,3.473931
купол,4.058894
плоский,4.321928
потолок,4.643856
переделка,6.643856
плита,4.643856
выгравировать,6.643856
улуджами,6.643856
минбаров,6.643856
успешный,2.736966
благополучный,6.643856
селиться,5.643856
соорудить,5.058894
основываться,3.058894
трофей,3.184425
скотоводство,6.643856
животноводство,4.321928
доход,2.556393
джизие,6.643856
тирскома,6.643856
собирать,2.556393
налоговый,3.643856
прекращение,2.943416
оживление,6.643856
каравансараев,5.058894
озеро,2.643856
бейшехир,5.643856
оживлнный,4.643856
невольничий,5.643856
железный,1.785875
квасцовый,6.643856
лазуритовый,6.643856
соляный,5.058894
разрабатываться,5.643856
лазурит,6.643856
добывать,3.836501
значениеправить,5.058894
осторожный,5.643856
дальновидный,5.643856
слабый,3.184425
заинтересовать,4.643856
ослаблять,5.058894
достойный,4.058894
восхищение,5.643856
разгадывать,6.643856
попадаться,5.643856
приготовить,5.643856
персидскоисламский,6.643856
обязанность,2.643856
исламизация,6.643856
чь,4.643856
узаконить,5.058894
подтверждаться,4.643856
аласир,6.643856
иконион,5.643856
превыше,5.643856
повелитель,4.643856
обруч,6.643856
посох,6.643856
меджито,5.643856
умалчивать,6.643856
инвеститура,5.058894
маншура,6.643856
распоряжение,3.184425
передаваться,4.321928
эссултанульмуаззам,6.643856
кймена,6.643856
прочно,5.058894
туркестан,5.643856
влиятельный,3.321928
вудс,6.643856
уверенность,5.058894
семьяправить,5.058894
комментарииправить,4.058894
данышменд,5.643856
обвинна,5.643856
местонахождение,4.321928
силифка,5.643856
ликаонии,5.058894
искажнный,5.058894
учхююк,6.643856
алеман,6.643856
неприятный,5.643856
решиться,4.058894
попробовать,4.321928
иконии,5.058894
приключение,3.643856
сатрап,5.643856
неожиданный,4.058894
подвиг,4.058894
пустыня,3.836501
измученный,5.643856
помолвка,6.643856
просватать,6.643856
босворт,5.643856
любарский,5.643856
ежегодник,4.321928
грязневич,5.643856
петрушевский,5.643856
платн,5.643856
сохаил,5.643856
нэ,5.058894
годусельджукидыперсоналий,5.058894
румаправитель,5.058894
векавоеначальник,6.643856
алфавитувоеначальник,6.643856
средневековьяскрыть,6.643856
повторяться,3.836501
вызов,3.643856
шаблоноввикипедиястатья,5.643856
иллюстрация,2.836501
викискладевикипедиястатья,6.643856
человеквикипедияизбрать,6.643856
деятеляхстраница,6.643856
башортсасрпски,6.643856
государстводанышмендид,6.643856
манцикерта,3.836501
алрарслан,6.643856
альмустаршид,6.643856
гюмюштегин,6.643856
объявлять,3.321928
персоармянин,6.643856
поддаться,6.643856
тяготение,6.643856
правнук,4.643856
таисмания,6.643856
йинанч,6.643856
солмаз,6.643856
бедросяный,6.643856
чамчян,6.643856
еремя,6.643856
армяногрузин,6.643856
виттечь,6.643856
аршакид,6.643856
неправдоподобный,6.643856
барьер,4.321928
вождм,5.058894
герой,2.120294
олицетворять,6.643856
чужое,6.643856
сейида,6.643856
батталый,6.643856
данышменднама,6.643856
мордтманна,6.643856
аахенский,5.643856
причислить,4.058894
данишманда,6.643856
танусман,6.643856
тайла,6.643856
эттуркманить,5.643856
меликофф,6.643856
туркоманский,6.643856
династииправить,5.643856
айнуддин,6.643856
насируддин,5.643856
джемаледдин,5.643856
шемседдин,5.643856
мухаммедягибасан,6.643856
юнусзюннунибрагимзулькарнайн,6.643856
исмаилмухаммедкасымафридун,6.643856
идентификацииправить,6.643856
данишменд,6.643856
неясный,5.058894
эпос,5.643856
привть,2.836501
путаница,4.643856
записать,3.473931
эпический,4.643856
породить,5.058894
заинтересоваться,6.643856
воображение,5.058894
гелиболулу,5.643856
дженаби,6.643856
смешать,5.643856
караманя,6.643856
кятиб,6.643856
челести,5.058894
дед,3.643856
хезарфен,6.643856
насколько,3.643856
двусмысленный,5.643856
запутать,5.643856
демир,6.643856
данишман,6.643856
данишмендбить,6.643856
ориенталист,6.643856
ибншаддада,6.643856
шаддад,6.643856
мордтман,6.643856
босуорт,5.643856
объединнный,2.251539
отнс,6.643856
шлюмберже,6.643856
эмиратаправить,6.643856
поперсидски,6.643856
себастие,6.643856
тевхид,6.643856
улуса,6.643856
газиправить,6.643856
годуданышменд,6.643856
ирис,6.643856
комана,6.643856
никсар,6.643856
гангрой,6.643856
кесария,4.643856
соперничать,5.643856
мерзифон,6.643856
боэмунда,5.058894
боэмунд,4.643856
гюмюштегиномть,6.643856
дук,4.321928
подчинить,3.836501
отобрать,5.058894
скипетр,5.643856
ветвиправить,6.643856
отныне,5.058894
враждебный,3.643856
малатьяправить,6.643856
пристрастие,6.643856
развлечение,3.836501
привязаться,6.643856
гулящий,6.643856
побуждать,5.643856
горожанин,5.643856
возроптать,6.643856
усугубить,5.058894
проучить,6.643856
забрать,4.643856
сокровищница,5.643856
прихватить,6.643856
присный,6.643856
четырхпятить,6.643856
скитание,6.643856
возвть,5.643856
феридун,5.643856
вернт,6.643856
годаправить,3.836501
вассальный,4.058894
перестат,5.643856
ягупасануть,6.643856
амасий,6.643856
анкира,6.643856
плодоносный,6.643856
каппадокийский,5.643856
смежный,5.643856
дадунуть,6.643856
севастие,6.643856
встать,3.473931
расторгнуть,6.643856
принудить,4.058894
посетить,2.556393
пленить,5.058894
переселить,5.058894
неджмеддин,5.058894
альпы,4.058894
годау,6.643856
юный,3.836501
шестнадцатилетний,6.643856
гласить,4.321928
захоронить,4.321928
похоронный,4.058894
шаркиидти,6.643856
заманти,6.643856
впустить,5.643856
властитель,5.058894
габрас,6.643856
щедро,5.643856
койлухисар,5.643856
воцарение,4.643856
должность,2.120294
перванэ,6.643856
отуречивание,6.643856
строительствоправить,6.643856
неприхотливый,6.643856
постройка,3.473931
улу,6.643856
джами,5.058894
сооружение,2.556393
реставрация,4.643856
минарет,4.058894
пристроить,6.643856
гариплера,6.643856
джина,4.058894
однонефный,6.643856
часовня,3.836501
мечетьмедресе,6.643856
клюка,6.643856
отремонтировать,4.058894
атсызть,5.643856
элтихатуна,6.643856
землетрясение,3.643856
клюк,6.643856
михраб,5.643856
мозаичный,5.058894
плитка,5.643856
уступать,3.643856
алаеддин,6.643856
мардинской,5.643856
эминуддин,5.643856
маристан,5.643856
мимара,6.643856
синана,5.643856
купольный,5.643856
образец,2.943416
покрыть,4.321928
диаметр,4.643856
чаглаять,6.643856
чалакчалык,6.643856
ешилырмак,6.643856
чорум,5.058894
рибат,6.643856
причинение,6.643856
мерчил,6.643856
лазаревский,5.643856
королевство,2.836501
шуликовый,5.058894
смирнов,3.836501
именовать,3.643856
археологический,3.321928
справочникиправить,6.643856
годуданышмендидыпротивник,6.643856
крестоносцеванатолийский,6.643856
бейликитуркменский,6.643856
династииистория,6.643856
сивасскрытый,6.643856
башортсабългарски,6.643856
српскохрватскисрпски,4.058894
перенаправляться,3.321928
путать,3.836501
крестный,4.643856
смысл,2.943416
святыня,4.643856
гроб,4.058894
господний,4.321928
провозглашать,6.643856
прибалтика,5.058894
подавление,3.321928
еретический,5.643856
антиклерикальный,6.643856
гусит,6.643856
урбан,5.643856
клермонский,6.643856
восторженный,5.058894
мотив,3.836501
обязательство,4.058894
заполучить,5.643856
индульгенция,6.643856
триполи,3.643856
акр,4.321928
картина,2.473931
ларивьера,6.643856
изобразить,3.836501
монжизар,6.643856
одержать,2.836501
вооружение,3.058894
доспех,5.643856
облачение,5.058894
львиный,3.836501
параллельный,4.643856
пиренейский,5.058894
мавр,5.058894
языческий,4.643856
западнославянский,5.643856
балтийский,4.321928
порой,5.643856
одобрение,3.836501
римскокатолический,4.643856
риторика,4.321928
символика,4.321928
знамна,5.058894
санкционировать,5.643856
секта,5.058894
протопротестантизм,6.643856
приобрло,5.058894
переносный,5.643856
образный,6.643856
непримиримый,6.643856
чеголибо,6.643856
предпосылка,4.643856
жлтый,5.058894
исход,3.473931
альбигойский,5.643856
пастушок,5.643856
орда,4.321928
смирна,5.058894
берберский,5.643856
варна,4.643856
происхожденияправить,6.643856
паника,4.321928
сокрушительный,4.643856
хлынуть,5.058894
нещадно,6.643856
жечь,5.643856
пылать,6.643856
рушиться,6.643856
осквернять,6.643856
подвергать,5.058894
изощрнный,6.643856
истреблять,6.643856
терпимо,5.643856
паломник,5.058894
прибывать,4.058894
поклонение,4.321928
господень,5.643856
поругание,5.643856
ущемлять,6.643856
чинить,5.643856
препятствие,4.058894
оскорбить,6.643856
избить,5.643856
безжалостно,6.643856
издеваться,6.643856
борода,4.321928
стащить,6.643856
протащить,6.643856
потеха,6.643856
засадить,5.058894
темница,6.643856
затруднение,6.643856
бесчинство,6.643856
творить,4.321928
злодеяние,6.643856
слушатель,6.643856
наполняться,6.643856
покарать,6.643856
нечестивец,6.643856
южнофранцузский,6.643856
клермоне,5.643856
архиепископ,4.643856
настоятель,6.643856
первоочередной,5.058894
важность,5.058894
съехаться,6.643856
мирянин,6.643856
сеньор,5.643856
заседание,2.836501
страстный,4.643856
проповедь,3.836501
вдохновитель,6.643856
нищий,5.058894
отшельник,5.643856
амьенский,6.643856
прозвище,3.184425
пустынник,6.643856
пикардия,6.643856
голгофа,5.058894
зрелище,6.643856
всяческий,5.643856
притеснение,5.643856
палестинский,3.473931
возбудить,4.321928
негодование,6.643856
мольба,5.643856
рубище,6.643856
распятие,3.836501
проповедовать,4.643856
тронутый,6.643856
красноречие,6.643856
отщипнуть,6.643856
клочок,6.643856
шерсть,4.321928
ослик,6.643856
незадолго,3.473931
воинственный,5.643856
воспринять,5.643856
мусульмантурка,6.643856
папский,4.058894
торжественный,3.643856
обет,5.058894
нашивать,6.643856
полоска,6.643856
миссия,2.184425
воодушевление,6.643856
предприниматься,5.643856
турокосман,6.643856
востокправить,5.643856
предпосылкиправить,6.643856
грозить,3.643856
серьзной,4.643856
критический,2.836501
ближневосточный,4.643856
жизненно,5.643856
исавр,5.058894
карла,3.836501
мартелла,5.643856
разложение,6.643856
халифат,5.643856
раздробиться,6.643856
фок,4.643856
крит,5.058894
василий,3.058894
притом,6.643856
беспрерывно,6.643856
сменяться,5.643856
слабость,5.058894
серьзнать,5.643856
наступательный,3.643856
предводительство,4.643856
шакирбек,6.643856
шакир,5.643856
опустошить,4.321928
диоген,4.058894
египетский,3.321928
фатимид,5.058894
беспрерывный,6.643856
страшный,4.321928
чаха,6.643856
готовить,2.943416
исчерпать,5.058894
целый,2.736966
настроение,4.058894
благоприятный,3.321928
призыв,2.836501
чрезвычайно,4.321928
чувство,3.836501
развиться,5.643856
аскетический,6.643856
произошлый,2.943416
католик,3.184425
анафема,5.643856
издавна,5.643856
майнцский,6.643856
зигфрид,6.643856
семитысячный,6.643856
оскорбляться,6.643856
проявление,3.836501
фанатизм,6.643856
альхаким,6.643856
сергий,4.321928
гораздо,3.473931
дорогой,3.643856
религиозно,6.643856
скорбь,4.321928
печальный,4.643856
заглохнуть,6.643856
передвижение,4.321928
отголосок,6.643856
рыцарский,5.058894
контингент,4.321928
приложение,2.836501
баронский,6.643856
чтонибыть,5.643856
тягостный,6.643856
социальноэкономический,3.321928
увлекать,6.643856
невыносимый,5.643856
стихийный,4.058894
бедствие,4.643856
наводнение,4.321928
неурожай,6.643856
повальный,6.643856
тощий,6.643856
крестоносный,6.643856
предприятие,2.473931
папство,5.058894
усилить,3.473931
нравственный,5.058894
усвоить,6.643856
божий,3.473931
откликнуться,5.058894
раздор,4.321928
зайти,4.643856
отлучение,6.643856
схизматик,6.643856
выслушать,5.643856
пиаченец,6.643856
овернуть,6.643856
произнс,4.321928
громадный,5.058894
нашить,6.643856
толчок,5.643856
суждено,5.643856
зреть,6.643856
освободиться,5.058894
истребить,5.643856
тугоркан,6.643856
боняк,6.643856
чахи,6.643856
неудачно,5.643856
чах,6.643856
приказание,6.643856
половцев,5.058894
непосредственный,2.943416
необыкновенный,5.643856
легат,6.643856
пюи,6.643856
адемара,6.643856
приниматься,4.643856
покровительство,5.058894
кредитор,6.643856
долг,3.321928
отлучаться,6.643856
благочестие,5.643856
почесть,5.058894
богатство,3.184425
отпускаться,6.643856
грех,4.643856
вовсе,3.184425
вальтер,5.058894
голяк,6.643856
готьенищий,6.643856
крестьянский,5.058894
ополчение,5.058894
тулузский,6.643856
вл,3.473931
гуго,5.058894
вермандуа,6.643856
филипп,3.473931
этьен,6.643856
шартр,5.643856
нормандия,4.321928
куртгз,5.643856
фландрий,4.321928
готфрид,5.058894
бульонский,6.643856
лотарингия,5.643856
евстахий,6.643856
эсташ,6.643856
булонить,6.643856
тарентский,5.058894
гвискара,5.643856
танкред,5.643856
ленный,6.643856
присяга,4.643856
нелегко,6.643856
сплочнный,5.643856
привлекать,3.184425
сорваться,5.643856
насидеть,6.643856
годоврисунок,6.643856
сытина,4.058894
проложить,4.058894
драгоценный,4.321928
форпост,5.643856
моссульский,6.643856
кербогойя,6.643856
терпеть,5.058894
кербог,5.643856
продолжительный,3.836501
промедление,6.643856
волнение,3.836501
рваться,6.643856
открыться,3.643856
резня,3.184425
аскалон,5.643856
ломбардия,5.643856
соединнный,3.184425
увеличиваться,4.058894
выкупить,5.643856
тратить,4.321928
отдалнный,4.643856
обладание,5.058894
духовнорыцарский,6.643856
тамплиер,5.643856
госпитальер,6.643856
иоаннит,6.643856
имададдин,6.643856
соединить,3.321928
героический,4.643856
ведать,5.058894
бернард,5.058894
клервосский,6.643856
землеправить,6.643856
годупо,6.643856
леванта,5.058894
булонской,5.058894
подчинение,4.321928
сеньория,6.643856
галилея,4.643856
яффа,6.643856
трансиордания,5.643856
крак,6.643856
монреаль,3.836501
сентавраам,6.643856
сидон,5.058894
тулуза,4.643856
доставка,4.321928
груз,3.643856
экономичный,5.643856
миновать,5.058894
невозможный,4.321928
приобрести,2.836501
монополия,5.643856
создаться,6.643856
волга,4.321928
перевалка,5.643856
балтика,6.643856
волгодонский,6.643856
усматривать,5.643856
бассейн,2.556393
двина,6.643856
волжский,4.643856
булгарий,6.643856
устье,3.643856
неман,6.643856
кура,5.058894
швед,4.643856
нева,5.058894
расценивать,5.643856
европеец,3.058894
выгодный,4.321928
иллюстрировать,4.643856
имад,4.643856
гогенштауфный,6.643856
сухой,3.473931
отплыть,5.643856
иерусалимец,6.643856
эгоистический,6.643856
недальновидный,6.643856
возвратиться,4.321928
нураддин,6.643856
десятилетие,3.184425
северовосток,3.321928
близкие,4.321928
асад,3.643856
ширкуха,5.058894
кольцо,3.473931
звание,2.836501
саладин,4.643856
айюб,4.321928
салахаддин,5.643856
ибнайюб,6.643856
неограниченно,6.643856
проказа,6.643856
установиться,5.058894
равновесие,5.058894
предвидеть,5.643856
нарастать,4.643856
барон,3.836501
ги,4.058894
лузиньян,6.643856
сибилла,5.643856
содействие,3.321928
провоцировать,6.643856
генеральный,2.0
капля,5.643856
переполнить,6.643856
чаша,4.321928
тивериада,6.643856
нанс,4.058894
аморить,4.643856
акрой,6.643856
бейрут,4.321928
тир,4.643856
монферратский,5.643856
му,5.643856
флот,2.251539
ломбардец,6.643856
тосканец,6.643856
генуэзец,4.643856
повть,5.058894
обойтись,3.836501
юговосток,2.736966
салеф,6.643856
разойтись,4.058894
малярия,5.643856
прозвание,6.643856
леопольд,3.473931
австрийский,3.643856
маркграф,6.643856
притязание,5.058894
изабелла,5.058894
наследница,4.321928
двухлетний,6.643856
бургундский,5.058894
шампанский,5.643856
арсуфа,6.643856
подходить,4.643856
штурм,2.836501
облегчить,4.321928
междоусобица,5.643856
выдвинуться,5.058894
альмалик,5.058894
альадиль,4.643856
штауфен,6.643856
встаки,4.321928
госпитальный,6.643856
братство,4.321928
св,3.184425
мария,2.120294
преобразовать,3.321928
тевтонский,6.643856
иннокентий,5.058894
пламенный,5.643856
проповедник,5.058894
фулько,6.643856
нельи,6.643856
тибо,5.643856
шампанское,5.643856
блуасский,6.643856
шартрский,6.643856
симона,5.058894
монфортский,6.643856
фландрский,5.058894
бонифаций,5.643856
царевич,5.643856
низложить,4.643856
ослеплнный,5.643856
гогенштауфен,5.643856
ирина,2.943416
венецианец,4.058894
дож,4.643856
энрико,5.058894
дандоть,5.643856
щедрый,5.058894
вознаграждение,4.321928
задар,5.643856
недоплатить,6.643856
перевоз,6.643856
высадиться,4.643856
штурмовать,4.643856
слепой,5.058894
провозглашн,4.321928
исполнить,4.321928
низвергнуть,6.643856
мурзуфл,6.643856
отбирание,6.643856
сокровище,4.643856
уплата,5.643856
условленный,6.643856
канабусы,6.643856
задушить,4.643856
победитель,2.736966
отвлечение,5.643856
амальрих,6.643856
елизавета,3.473931
малолетство,6.643856
ибелина,6.643856
иоланта,5.643856
храбрый,5.643856
бриеннский,6.643856
альмеликуаладил,6.643856
рвение,6.643856
византииправить,5.643856
фессалоники,5.058894
герцогство,5.058894
афинский,4.321928
ахейский,5.058894
наксосский,5.643856
провидец,6.643856
вдохнуть,6.643856
средиземный,3.321928
провокация,4.321928
устроенный,5.058894
работорговец,5.643856
кльна,6.643856
подросток,3.836501
сель,6.643856
марсел,5.643856
мальчик,3.836501
николай,2.321928
рассеяться,5.643856
бриндизи,5.643856
отозваться,6.643856
андраш,6.643856
гонорий,5.643856
отложить,3.473931
славный,5.058894
оттон,5.643856
меранский,6.643856
вяло,6.643856
георг,4.058894
видский,6.643856
альадиля,5.643856
алькамиль,5.058894
соглашаться,5.058894
годовой,3.473931
дамиетта,5.643856
бриенна,6.643856
возместить,6.643856
людвиг,5.643856
немец,3.473931
убежднный,5.643856
пелагий,6.643856
мансур,4.058894
окончиться,5.058894
очистить,3.836501
дамьетта,6.643856
ландграф,6.643856
тюрингенский,6.643856
высадка,5.058894
отранто,6.643856
вредный,4.643856
примирить,6.643856
отлучнный,6.643856
ехать,3.321928
пират,4.321928
иоппий,6.643856
вифлеем,4.643856
назарет,5.058894
невыгодный,6.643856
облегчение,5.643856
принести,2.943416
наваррский,6.643856
